workload,rate,seed,cond,cycle,timestamp,current_peak_kvpr,best_peak_kvpr,delta_r,residency_colocated
steady,10,4,steady_r10_s4,22,1787648588.7412548,0.10741899915941476,0.10741899915941476,0.0,True
steady,10,4,steady_r10_s4,23,1787648593.7642229,0.10720517186057746,0.10720517186057746,0.0,True
steady,10,4,steady_r10_s4,24,1787648598.7879446,0.10714663176906271,0.10714663176906271,0.0,True
steady,10,4,steady_r10_s4,25,1787648603.8131871,0.11353466078595219,0.11353466078595219,0.0,True
steady,10,4,steady_r10_s4,26,1787648608.8411276,0.11058798758482383,0.11058798758482383,0.0,True
steady,10,4,steady_r10_s4,27,1787648613.8820388,0.10849594982550624,0.10849594982550624,0.0,True
steady,10,4,steady_r10_s4,28,1787648618.9304664,0.10910949512386808,0.10910949512386808,0.0,True
steady,10,4,steady_r10_s4,29,1787648624.0044563,0.1092396339842291,0.1092396339842291,0.0,True
steady,10,4,steady_r10_s4,30,1787648629.0364676,0.10990087697501305,0.10990087697501305,0.0,True
steady,10,4,steady_r10_s4,31,1787648634.0643497,0.1051701785865021,0.1051701785865021,0.0,True
steady,10,4,steady_r10_s4,32,1787648639.1056237,0.10705946654225557,0.10705946654225557,0.0,True
steady,10,4,steady_r10_s4,33,1787648644.139751,0.10465014537559375,0.10465014537559375,0.0,True
steady,10,4,steady_r10_s4,34,1787648649.1731284,0.10207452254506937,0.10207452254506937,0.0,True
steady,10,4,steady_r10_s4,35,1787648654.2059605,0.10098541250681856,0.10098541250681856,0.0,True
steady,10,4,steady_r10_s4,36,1787648659.247118,0.10248878259883606,0.10248878259883606,0.0,True
steady,10,4,steady_r10_s4,37,1787648664.3027222,0.096159340800458,0.096159340800458,0.0,True
steady,10,4,steady_r10_s4,38,1787648669.3416798,0.09711275974904417,0.09711275974904417,0.0,True
steady,10,4,steady_r10_s4,39,1787648674.3772895,0.10084477668581601,0.10084477668581601,0.0,True
steady,10,4,steady_r10_s4,40,1787648679.44315,0.10335980937515162,0.10335980937515162,0.0,True
steady,10,4,steady_r10_s4,41,1787648684.4852607,0.10247509422000738,0.10247509422000738,0.0,True
steady,10,4,steady_r10_s4,42,1787648689.5282948,0.09947992582441408,0.09947992582441408,0.0,True
steady,10,4,steady_r10_s4,43,1787648694.5721,0.10080983191901195,0.10080983191901195,0.0,True
steady,10,4,steady_r10_s4,44,1787648699.6158836,0.10138259627078851,0.10138259627078851,0.0,True
steady,10,4,steady_r10_s4,45,1787648704.669372,0.10224068577359328,0.10224068577359328,0.0,True
steady,10,4,steady_r10_s4,46,1787648709.7179997,0.1023247826704719,0.1023247826704719,0.0,True
steady,10,4,steady_r10_s4,47,1787648715.0286505,0.10432613229630355,0.10432613229630355,0.0,True
steady,10,4,steady_r10_s4,48,1787648720.0777974,0.10498032614570316,0.10498032614570316,0.0,True
steady,10,4,steady_r10_s4,49,1787648725.1548371,0.10200101944678204,0.10200101944678204,0.0,True
steady,10,4,steady_r10_s4,50,1787648730.227887,0.10022342126941683,0.10022342126941683,0.0,True
steady,10,4,steady_r10_s4,51,1787648735.2721164,0.10076142153028306,0.10076142153028306,0.0,True
steady,10,4,steady_r10_s4,52,1787648740.3237765,0.10180582765561909,0.10180582765561909,0.0,True
steady,10,4,steady_r10_s4,53,1787648745.3775592,0.10104128106322834,0.10104128106322834,0.0,True
steady,10,4,steady_r10_s4,54,1787648750.428697,0.1025023125773679,0.1025023125773679,0.0,True
steady,10,4,steady_r10_s4,55,1787648755.4786804,0.10415922829154958,0.10415922829154958,0.0,True
steady,10,4,steady_r10_s4,56,1787648760.5433688,0.1036202901739082,0.1036202901739082,0.0,True
steady,10,4,steady_r10_s4,57,1787648765.5994396,0.10504627409459072,0.10504627409459072,0.0,True
steady,10,4,steady_r10_s4,58,1787648770.652311,0.10603481368742292,0.10603481368742292,0.0,True
steady,10,4,steady_r10_s4,59,1787648775.7044284,0.10748243325595522,0.10748243325595522,0.0,True
steady,10,4,steady_r10_s4,60,1787648780.763588,0.11070617571493442,0.11070617571493442,0.0,True
steady,10,4,steady_r10_s4,61,1787648785.8181214,0.1132152467854904,0.1132152467854904,0.0,True
steady,10,4,steady_r10_s4,62,1787648790.8684924,0.11367396658919034,0.11367396658919034,0.0,True
steady,10,4,steady_r10_s4,63,1787648796.143994,0.11018630735462097,0.11018630735462097,0.0,True
steady,10,4,steady_r10_s4,64,1787648801.2048297,0.1123024142248361,0.1123024142248361,0.0,True
steady,10,4,steady_r10_s4,65,1787648806.2605076,0.10728768109830532,0.10728768109830532,0.0,True
steady,10,4,steady_r10_s4,66,1787648811.3404386,0.10750354804124354,0.10750354804124354,0.0,True
steady,10,4,steady_r10_s4,67,1787648816.3960419,0.10731358293217286,0.10731358293217286,0.0,True
steady,10,4,steady_r10_s4,68,1787648821.4555092,0.10632349138296898,0.10632349138296898,0.0,True
steady,10,4,steady_r10_s4,69,1787648826.5163293,0.10387306227255397,0.10387306227255397,0.0,True
steady,10,4,steady_r10_s4,70,1787648831.5871863,0.10050187144136265,0.10050187144136265,0.0,True
steady,10,4,steady_r10_s4,71,1787648836.7010624,0.10070227924593338,0.10070227924593338,0.0,True
steady,10,4,steady_r10_s4,72,1787648841.7673352,0.10060521931348645,0.10060521931348645,0.0,True
steady,10,4,steady_r10_s4,73,1787648846.8331914,0.09917217596873742,0.09917217596873742,0.0,True
steady,10,4,steady_r10_s4,74,1787648851.9181337,0.10124777475391517,0.10124777475391517,0.0,True
steady,10,4,steady_r10_s4,75,1787648857.3478425,0.10603742028053138,0.10603742028053138,0.0,True
steady,10,4,steady_r10_s4,76,1787648862.418817,0.10865729126085319,0.10865729126085319,0.0,True
steady,10,4,steady_r10_s4,77,1787648867.4885817,0.10821299512878978,0.10821299512878978,0.0,True
steady,10,4,steady_r10_s4,78,1787648872.5580332,0.1114640344416698,0.1114640344416698,0.0,True
steady,10,4,steady_r10_s4,79,1787648877.626582,0.10417262191973374,0.10417262191973374,0.0,True
steady,10,4,steady_r10_s4,80,1787648882.6915338,0.10862977014737142,0.10862977014737142,0.0,True
steady,10,4,steady_r10_s4,81,1787648887.7617595,0.10588821951077054,0.10588821951077054,0.0,True
steady,10,4,steady_r10_s4,82,1787648892.8321424,0.10879004024476951,0.10879004024476951,0.0,True
steady,10,4,steady_r10_s4,83,1787648897.9042423,0.10876879422390613,0.10876879422390613,0.0,True
steady,10,4,steady_r10_s4,84,1787648903.0049574,0.10669040267436959,0.10669040267436959,0.0,True
steady,10,4,steady_r10_s4,85,1787648908.33041,0.10099719624260406,0.10099719624260406,0.0,True
steady,10,4,steady_r10_s4,86,1787648913.406353,0.0935300908143975,0.0935300908143975,0.0,True
bursty,8,3,bursty_r8_s3,1,1787649684.3412342,0.00029847361382104835,0.0002378378440667062,6.0635769754342154e-05,False
bursty,8,3,bursty_r8_s3,2,1787649689.348341,0.0073509641914400355,0.004573351747867,0.0027776124435730356,False
bursty,8,3,bursty_r8_s3,3,1787649694.3530269,0.00843291931358061,0.00843291931358061,0.0,True
bursty,8,3,bursty_r8_s3,4,1787649699.3616428,0.01280327558174995,0.01280327558174995,0.0,True
bursty,8,3,bursty_r8_s3,5,1787649704.3784606,0.01935816510244545,0.01935816510244545,0.0,True
bursty,8,3,bursty_r8_s3,6,1787649709.409698,0.02520814010216304,0.025208140102163042,0.0,True
bursty,8,3,bursty_r8_s3,7,1787649714.4630475,0.03132326408536958,0.03132326408536958,0.0,True
bursty,8,3,bursty_r8_s3,8,1787649719.4724824,0.03754428503692301,0.03754428503692301,0.0,True
bursty,8,3,bursty_r8_s3,9,1787649724.4851599,0.04280371385424062,0.04280371385424062,0.0,True
bursty,8,3,bursty_r8_s3,10,1787649729.497556,0.047536214894551995,0.047536214894551995,0.0,True
bursty,8,3,bursty_r8_s3,11,1787649734.5144806,0.06062635656964568,0.06028951687758367,0.00033683969206201037,True
bursty,8,3,bursty_r8_s3,12,1787649739.5267422,0.07048797926036675,0.06271447008291987,0.0077735091774468745,True
bursty,8,3,bursty_r8_s3,13,1787649744.5431933,0.08402620250320181,0.06534684948307591,0.018679353020125897,True
bursty,8,3,bursty_r8_s3,14,1787649749.580734,0.06739557718767261,0.06739557718767261,0.0,True
bursty,8,3,bursty_r8_s3,15,1787649754.595573,0.08045991814607999,0.08045991814607999,0.0,True
bursty,8,3,bursty_r8_s3,16,1787649759.6115093,0.09128830105549415,0.09128830105549415,0.0,True
bursty,8,3,bursty_r8_s3,17,1787649764.628501,0.10077910611770256,0.09343249287251368,0.007346613245188885,True
bursty,8,3,bursty_r8_s3,18,1787649769.6453598,0.1086308360760068,0.09307680566028824,0.015554030415718567,True
bursty,8,3,bursty_r8_s3,19,1787649774.6631284,0.11530777381696021,0.09413172861871749,0.02117604519824272,True
bursty,8,3,bursty_r8_s3,20,1787649780.8387053,0.10429804251040528,0.09182616895613069,0.012471873554274593,False
bursty,8,3,bursty_r8_s3,21,1787649785.8588855,0.09925513512486425,0.08856186510416139,0.01069327002070286,False
bursty,8,3,bursty_r8_s3,22,1787649790.8793225,0.10075756349722657,0.09055887199698243,0.010198691500244148,False
bursty,8,3,bursty_r8_s3,23,1787649795.9303405,0.09980310690024281,0.08990521644801648,0.009897890452226332,False
bursty,8,3,bursty_r8_s3,24,1787649800.951582,0.09956162190373401,0.08970797817037555,0.009853643733358453,False
bursty,8,3,bursty_r8_s3,25,1787649805.9742606,0.09756354655420522,0.09333101853980544,0.004232528014399786,False
bursty,8,3,bursty_r8_s3,26,1787649810.9952898,0.09193577352706883,0.09193577352706883,0.0,False
bursty,8,3,bursty_r8_s3,27,1787649816.015769,0.09727752401851086,0.09631683918410146,0.000960684834409406,False
bursty,8,3,bursty_r8_s3,28,1787649821.0349052,0.09851814170458727,0.09715634672884653,0.0013617949757407377,False
